split,model,aggregation,n_patients,n_early,n_advanced,auroc,logloss,brier
test,Deterministic EM-MMIL,mean_prob,11,5,6,0.7666666666666666,1.6257778946149017,0.45336503265985595
test,Deterministic EM-MMIL,median_prob,11,5,6,0.5666666666666667,2.4426696258272593,0.5057017824988824
test,Deterministic EM-MMIL,q90_prob,11,5,6,0.8666666666666667,1.209145541670398,0.3420574748095441
test,Deterministic EM-MMIL,q99_prob,11,5,6,0.8666666666666667,0.5197141169733004,0.17985824482961554
test,Deterministic EM-MMIL,prop_gt_0_5,11,5,6,0.8,1.956942810265948,0.47529689566343003
test,Deterministic EM-MMIL,prop_gt_0_9,11,5,6,0.8333333333333333,4.87918062465191,0.5222456761213577
test,MCEM-MMIL,mean_prob,11,5,6,0.7666666666666666,1.6311234945962731,0.4535040974175287
test,MCEM-MMIL,median_prob,11,5,6,0.5666666666666667,2.4561567263445254,0.5041779418246484
test,MCEM-MMIL,q90_prob,11,5,6,0.8333333333333333,1.2117679911813086,0.3416763446722634
test,MCEM-MMIL,q99_prob,11,5,6,0.8666666666666667,0.5298302757734509,0.18336279633223576
test,MCEM-MMIL,prop_gt_0_5,11,5,6,0.9,1.9559270565752096,0.47528567231887336
test,MCEM-MMIL,prop_gt_0_9,11,5,6,0.75,6.198149509972294,0.5258456743031759
test,Naive inherited-label classifier,mean_prob,11,5,6,0.7,0.6423570205412618,0.22247448817585508
test,Naive inherited-label classifier,median_prob,11,5,6,0.7,0.660013456110229,0.2273537172927085
test,Naive inherited-label classifier,q90_prob,11,5,6,0.8,0.6364311237303364,0.23843214456182915
test,Naive inherited-label classifier,q99_prob,11,5,6,0.7666666666666666,1.2767322924860505,0.3483080147627371
test,Naive inherited-label classifier,prop_gt_0_5,11,5,6,0.7,0.6744103681794442,0.22422705356503903
test,Naive inherited-label classifier,prop_gt_0_9,11,5,6,0.8,1.5748668075799463,0.4434826492873949
train,Deterministic EM-MMIL,mean_prob,33,15,18,0.9740740740740741,1.0023684761798524,0.33646293600599614
train,Deterministic EM-MMIL,median_prob,33,15,18,0.9037037037037038,1.5935940060157305,0.4018324681373444
train,Deterministic EM-MMIL,q90_prob,33,15,18,0.9740740740740741,0.5360845353438539,0.19204087812005102
train,Deterministic EM-MMIL,q99_prob,33,15,18,0.9666666666666667,0.2609591494039607,0.07670341916374208
train,Deterministic EM-MMIL,prop_gt_0_5,33,15,18,0.9388888888888889,1.6945409524089292,0.3703963072216478
train,Deterministic EM-MMIL,prop_gt_0_9,33,15,18,0.8888888888888888,3.6740969393142002,0.4516246347348975
train,MCEM-MMIL,mean_prob,33,15,18,0.9740740740740741,1.002308032371918,0.33645245426152576
train,MCEM-MMIL,median_prob,33,15,18,0.9074074074074074,1.600573367583068,0.40281952196629667
train,MCEM-MMIL,q90_prob,33,15,18,0.9740740740740741,0.5336612412591353,0.19091111819915613
train,MCEM-MMIL,q99_prob,33,15,18,0.9666666666666667,0.25783939805645006,0.0755828140865648
train,MCEM-MMIL,prop_gt_0_5,33,15,18,0.9388888888888889,1.6822851210503793,0.3694154880559906
train,MCEM-MMIL,prop_gt_0_9,33,15,18,0.8888888888888888,3.682548526732374,0.45122401346759555
train,Naive inherited-label classifier,mean_prob,33,15,18,0.9851851851851852,0.4683592231339494,0.15019895552355905
train,Naive inherited-label classifier,median_prob,33,15,18,0.9851851851851853,0.457629716998089,0.14720367851651073
train,Naive inherited-label classifier,q90_prob,33,15,18,0.9666666666666667,0.6044720250367906,0.2247569563472496
train,Naive inherited-label classifier,q99_prob,33,15,18,0.9333333333333333,1.3882736728808345,0.37972000599217837
train,Naive inherited-label classifier,prop_gt_0_5,33,15,18,0.9481481481481482,0.4244404031298528,0.1410389038524128
train,Naive inherited-label classifier,prop_gt_0_9,33,15,18,0.9518518518518518,0.8596064938966727,0.2998223388717799
