iter,delta,mean_soft_advanced,mean_prob_advanced
1,0.04755599574549119,0.3000000000000001,0.2190939748772298
2,0.04086803677173955,0.29994856257253694,0.23668404895941786
3,0.03366655841539302,0.2996144116887332,0.25040918950630864
4,0.026487117758850123,0.2991618396748228,0.26038457234577667
5,0.0203276047215715,0.2987447104432246,0.26726543540806563
6,0.015606238854306514,0.2984923507321123,0.27198906098197545
7,0.012024204955966268,0.29823138853161774,0.27536885959215224
8,0.009270622341939889,0.2978216379820288,0.27772128383369077
9,0.007184815242354125,0.2972631292458602,0.27917591835548744
10,0.0056613062292495365,0.2967456249158094,0.27994635992031275
11,0.004599290330708296,0.2963674535030553,0.2803576415926866
12,0.003845324715081716,0.29608293097369787,0.2806277882288861
13,0.0033059942293024187,0.29583791924826447,0.28078702930495403
14,0.0028721069261464045,0.29559221012670533,0.28084132616548596
15,0.002518116433560881,0.2953294647921828,0.28080083607616124
16,0.002210114126559853,0.2950428420398426,0.28068052584050274
17,0.0019499943396236914,0.29473318153889916,0.28047929613805056
18,0.001701028208357393,0.29441125354360714,0.2802237927410557
19,0.0014952102843265951,0.29410848394064043,0.2799354295086975
20,0.0013103065211991787,0.29382977098413016,0.2796483366214136
21,0.001157337279238746,0.2935769425184494,0.2793683619841523
22,0.001027500648573769,0.29334744310804395,0.27910868967885144
23,0.0009170084252122403,0.29314058483918104,0.27886396389813745
24,0.0008214093935983048,0.29295602484316624,0.2786370554646116
25,0.0007501126196405188,0.2927998552073406,0.2784450565302867
26,0.00069075698947605,0.2926663509712469,0.27828116857721213
27,0.0006426100112604152,0.29255332188980054,0.27814054157041646
28,0.0006034103329210747,0.2924579196008067,0.2780213703570355
29,0.0005721632104488096,0.29237799721719715,0.277920850655978
30,0.000547688404631557,0.2923118183509306,0.2778370516379624
