split,Stage_group,Cell_type,n_cells,mean_prob,median_prob,q90_prob,prop_gt_0_5,model
test,Advanced,Oligodendrocytes,5,0.8471882420790454,0.9177859322165981,0.9666446281674769,1.0,MCEM-MMIL
test,Advanced,Myeloid cells,144,0.09908948953615633,0.03891201864653245,0.25623131470501437,0.04861111111111111,MCEM-MMIL
test,Advanced,Epithelial cells,142,0.07255732483086227,0.0003296825268406955,0.25048521800748247,0.06338028169014084,MCEM-MMIL
test,Advanced,T lymphocytes,294,0.015214648049899302,0.01101132072909541,0.03251751163187976,0.0,MCEM-MMIL
test,Advanced,NK cells,43,0.01433824166304944,0.011681420057880027,0.026580966018464,0.0,MCEM-MMIL
test,Advanced,B lymphocytes,59,0.008872452956566319,0.005946864325811003,0.023192045630048726,0.0,MCEM-MMIL
test,Advanced,MAST cells,7,0.004056274404315071,0.004507748931595835,0.007197422448241073,0.0,MCEM-MMIL
test,Advanced,Fibroblasts,35,0.0004942905430488845,4.893789466032868e-05,0.0008131803080435508,0.0,MCEM-MMIL
test,Advanced,Endothelial cells,2,0.0003806016644381079,0.0003806016644381079,0.000520366454321399,0.0,MCEM-MMIL
test,Early,Myeloid cells,128,0.054505963202573476,0.004270580672266244,0.16740692048501618,0.015625,MCEM-MMIL
test,Early,Epithelial cells,31,0.027791411466268217,0.0023742032134330907,0.04681842934754942,0.0,MCEM-MMIL
test,Early,NK cells,25,0.01370807537036305,0.00964694995664905,0.02484035752503257,0.0,MCEM-MMIL
test,Early,B lymphocytes,81,0.009512190369771238,0.004131524263914841,0.023550366687306746,0.0,MCEM-MMIL
test,Early,Undetermined,2,0.009228247982223006,0.009228247982223006,0.010230916163846889,0.0,MCEM-MMIL
test,Early,T lymphocytes,313,0.008229037609527397,0.004664400909212528,0.014795362990816983,0.0,MCEM-MMIL
test,Early,Endothelial cells,3,0.005945579188977074,0.004575934786428681,0.009018062010679388,0.0,MCEM-MMIL
test,Early,MAST cells,10,0.00364218629748777,0.002437469955862326,0.00930863187745267,0.0,MCEM-MMIL
test,Early,Fibroblasts,18,0.0008776228199222526,0.0001978190028476962,0.0012393324496256092,0.0,MCEM-MMIL
train,Advanced,Oligodendrocytes,16,0.8937868768881997,0.9716817090043957,0.9924733585378644,0.9375,MCEM-MMIL
train,Advanced,Epithelial cells,1184,0.6688106790768386,0.8606038001196528,0.9937958587193079,0.6765202702702703,MCEM-MMIL
train,Advanced,Myeloid cells,684,0.2708896345716173,0.18361509589346708,0.6583516870311203,0.1827485380116959,MCEM-MMIL
train,Advanced,Undetermined,17,0.03667433347869467,0.029903493186958025,0.052497375662499374,0.0,MCEM-MMIL
train,Advanced,NK cells,171,0.031117329293265668,0.019372210668214422,0.049623256205855525,0.005847953216374269,MCEM-MMIL
train,Advanced,Fibroblasts,29,0.026789165385635427,0.0016668894763361393,0.011521515088341549,0.034482758620689655,MCEM-MMIL
train,Advanced,T lymphocytes,1091,0.01797996963371471,0.013055508480570967,0.031690563225544775,0.0,MCEM-MMIL
train,Advanced,B lymphocytes,476,0.014580944399200426,0.007444868657949903,0.031849967546028445,0.0,MCEM-MMIL
train,Advanced,MAST cells,20,0.0048314737238358595,0.003820268827081747,0.010540754893116228,0.0,MCEM-MMIL
train,Advanced,Endothelial cells,1,0.0027672900070958148,0.0027672900070958148,0.0027672900070958148,0.0,MCEM-MMIL
train,Early,Epithelial cells,163,0.12434530172953369,0.007926026503821527,0.5377488296817614,0.11042944785276074,MCEM-MMIL
train,Early,Myeloid cells,368,0.04100204217743444,0.012960959939305515,0.09988655140795463,0.002717391304347826,MCEM-MMIL
train,Early,NK cells,119,0.017017427731741183,0.014084667096691901,0.03188272163379692,0.0,MCEM-MMIL
train,Early,T lymphocytes,881,0.0127469782809367,0.008915993022611259,0.024504075541845183,0.0,MCEM-MMIL
train,Early,B lymphocytes,321,0.012267364935859601,0.005321543505403436,0.02176664073606594,0.0,MCEM-MMIL
train,Early,Undetermined,8,0.011619280756561524,0.008962431330784702,0.018322031367689784,0.0,MCEM-MMIL
train,Early,Fibroblasts,26,0.004440257273232819,0.0002401845585588711,0.011410197054987243,0.0,MCEM-MMIL
train,Early,MAST cells,47,0.004341149153379063,0.0032477207325413023,0.008067598111217291,0.0,MCEM-MMIL
train,Early,Endothelial cells,36,0.0012915443806393704,0.0009130648918760035,0.002721110959786009,0.0,MCEM-MMIL
