iter,delta,mean_q_I,mean_q_II_III,mean_q_IV
1,0.08019613476660895,0.34704864033955496,0.13894544273096845,0.5140059169294765
2,0.044241204601054705,0.35327099696060227,0.09909852940634624,0.5476304736330514
3,0.02443634975217978,0.3583785726152049,0.07699070268700722,0.5646307246977879
4,0.013784395050077313,0.36218272689196446,0.06348258970181953,0.574334683406216
5,0.008189208125288937,0.36503106751792064,0.054557657868883544,0.5804112746131959
6,0.005217392452809166,0.3672195964451791,0.048330136075989925,0.5844502674788309
7,0.0035660281432108466,0.368949969205238,0.043797238357589696,0.5872527924371722
8,0.0025692772895209433,0.3703492671590413,0.04039188933194128,0.5892588435090174
9,0.0019247440736735932,0.371501720589127,0.037765790922153986,0.590732488488719
10,0.001483677701272802,0.3724625403176722,0.03569805669271002,0.5918394029896179
11,0.0011708510794202075,0.3732693791505912,0.03404153690996154,0.5926890839394473
12,0.0009442413524326268,0.3739553272466398,0.03268846774203248,0.5933562050113276
13,0.000772988638064017,0.37454477017199556,0.03156782691824471,0.5938874029097598
14,0.0006450838094337052,0.3750530929396184,0.030626430567621054,0.5943204764927605
15,0.0005459981664645767,0.3754946190623214,0.029825819484711035,0.5946795614529676
16,0.00046786501038880714,0.37588064891150796,0.029137406494728735,0.5949819445937633
17,0.0004046449079671971,0.37622133043758477,0.028541218314771452,0.5952374512476437
18,0.0003537547465012696,0.3765220564253502,0.028018934685069576,0.5954590088895803
19,0.00031181068096998926,0.3767889800845792,0.027557932181705425,0.5956530877337154
20,0.0002764451484839804,0.3770277995221343,0.02714954334827328,0.5958226571295925
21,0.0002468397917938794,0.37724132301111957,0.026784511679105786,0.5959741653097747
22,0.0002219692710102876,0.37743231620280154,0.026455711237209883,0.5961119725599885
23,0.000200144577806075,0.3776048694339417,0.0261592815880528,0.5962358489780054
24,0.00018116795332137465,0.37776113971949155,0.025891082217394733,0.5963477780631138
25,0.0001645082229114425,0.3779029557057589,0.02564768427767136,0.5964493600165698
26,0.00014982308672363057,0.3780318914426408,0.025426209646338304,0.5965418989110208
27,0.00013681072826629982,0.37814931407526536,0.025224215736983243,0.5966264701877513
28,0.00012497390940228458,0.37825518132965424,0.02503981393075399,0.5967050047395918
29,0.00011511904928073408,0.37835346323544855,0.024870800746200312,0.5967757360183511
30,0.0001055951260601474,0.3784432508766938,0.02471579025105845,0.5968409588722478
31,9.706740253696891e-05,0.3785254146234206,0.024573411118786394,0.596901174257793
